🔒 Row ID,Product / Name,InStock,Product / Description,Product / Wholesale,image_url,Price,Product / SKU,Product / Category,Subcat,Product / Min Stock Level,Product / Photo,Warehouse / Name,coa_url,GrowMethodName,SupplierName,WV_name,dt_submit,Grade,subcat1,Product / Retail,Batch No
QN3B7eqRS1C-tmzULKXx1g,Banana OG,false,"Banana OG (70% Indica/30% Sativa): Known for its sweet, ripe banana flavor, Banana OG packs a powerful punch with THC levels peaking at 27%. This strain offers experienced users an intense euphoria and creativity followed by a deep body relaxation. It can potentially help manage depression, anxiety, chronic pain, and insomnia. Expect a taste of sweet bananas with an undercurrent of hash and pepper, followed by a fresh, earthy aroma with a hint of sourness.",50,https://synergycloud.online/products/BANANA OG.pdf,50,FL-BOG-1G-SB,FLOWER,BULK FLOS,0,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/ry7EneJrV6GVskrEiO4Z/pub/sQKidgtQdE9Vw6upZdc5.png,420DRS,,,,,,,,,
9KfOvT3YTd23tc1bwjxFEw,Dirty Banana,false,"Dirty Banana (70% Sativa/30% Indica): With lineage tracing back to powerful strains like Fire OG and The White, Fel IS boasts high THC content that induces a calming yet invigorating high. It's ideal for managing chronic pain, fatigue, and appetite loss. The sweet, fruity aroma of this potent hybrid adds to its appeal.",50,https://synergycloud.online/products/DIRTY-BANANA.pdf,,FL-FIS15-B-GJ,FLOWER,BULK FLOS,0,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/ry7EneJrV6GVskrEiO4Z/pub/bfhNW4Le8hDviZqweY9A.png,Warehouse 2,https://synergycloud.online/coa/Banana OG COA.pdf,,,,,,,,
Mimv2qFkSKKHhoX3pLYfMA,Maluti X,false,"Maluti X (70% Sativa/30% Indica): This South African strain provides an uplifting and stimulating effect. Its potential benefits include relieving depression, stress, and chronic pain.",,https://synergycloud.online/products/MALUTI X.pdf,150,FL-MX-1G-SB,FLOWER,BULK FLOS,0,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/ry7EneJrV6GVskrEiO4Z/pub/bNccFFtQV339sfVxwKFt.png,Warehouse 2,,INDOOR,,,,,,,
2GewFDGpRMegeXbLh-Jsmw,Mimosa EVO,false,"Mimosa (70% Sativa/30% Indica): A cross between Purple Punch and Clementine, Mimosa offers an energetic high with its relatively high THC level. This sativa-dominant hybrid enhances creativity and focus and may alleviate symptoms of depression and anxiety. Its bright, citrusy profile makes it a daytime favorite.",47,https://synergycloud.online/products/MIMOSA EVO.pdf,200,FL-MIN-1G-SB,Archive,BULK FLOS,0,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/ry7EneJrV6GVskrEiO4Z/pub/WNKcpLJD02WcH5QNQs5P.png,,,,,,,,,,
eLG77t5FS2COXxOXqMTK2g,Imbali Wellness ,true,,265,,,IMB-WLN-1-30M-IC,TINCTURES,Tinctures,10,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/mTK8viidGqS63Sa49X2I/pub/ndzPT2uUp74J9G1nx6Zr.jpg,,,INDOOR,SRN,30ml,"07/10/2024, 0:00:00",,,,
OZBtwt6zTE2yl9OvKNybrQ,Imbali Recovery,true,,437,,,IMB-RCY-1-30M-IC,TINCTURES,Tinctures,10,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/mTK8viidGqS63Sa49X2I/pub/ucvEmUx6DKnYJp7mRCP1.jpg,CANNATRADE,,INDOOR,SRN,30ml,"07/10/2024, 0:00:00",,,,
ZTrX7V1AT6CKC3XGjUoHsg,Imbali Relax,true,,315.1,,,IMB-RLX-1-30M-IC,TINCTURES,Tinctures,10,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/mTK8viidGqS63Sa49X2I/pub/awHQI6o7P2Gt1VLXwGwq.jpg,CANNATRADE,,INDOOR,SRN,30ml,"07/10/2024, 0:00:00",,,,
8sKLeWPiQe25IZrGENNZ3A,Imbali Sleep,true,,342.7,,,IMB-SLP-1-30M-IC,TINCTURES,Tinctures,10,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/mTK8viidGqS63Sa49X2I/pub/J7HGNzmu0xuYl03FnyIe.jpg,CANNATRADE,,INDOOR,SRN,30ml,"07/10/2024, 0:00:00",,,,
Fs42LJ5rScSRy3dPNgwwZg,Imbali Diet ,true,,289.8,,,IMB-DIT-1-30M-IC,TINCTURES,Tinctures,10,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/mTK8viidGqS63Sa49X2I/pub/MzzFckYhJA2MmZijdEiW.jpg,CANNATRADE,,INDOOR,SRN,30ml,"07/10/2024, 0:00:00",,,,
5SSoiDXrQV2FLbXhivKnyA,Nabivex ,true,,678.73,,,IMB-NVX-1-30M-IC,TINCTURES,Tinctures,10,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/ry7EneJrV6GVskrEiO4Z/pub/jNBxXcEALlVVACXKxQhg.jpg,CANNATRADE,,,SRN,30ml,,,,,
